Object                                                                                    Feature                       Support 
((repair/NN, maker/NN), ice/NN)                                                           100/CD                        4.20397E-5
((return/NN, handler/NN), air/NN)                                                         main/JJ                       4.20397E-5
((risk/NNS, health/NN), term/NN)                                                          long/JJ                       4.20397E-5
((room/NN, dining/NN), size/NN)                                                           medium/NN                     4.20397E-5
((sample/NNS, card/NN), credit/NN)                                                        plastic/JJ                    4.20397E-5
((sander/NN, palm/NN), purpose/NN)                                                        general/JJ                    4.20397E-5
((sensor/NNS, temperature/NN), wire/NN)                                                   2/CD                          4.20397E-5
((sheet/NNS, PVC/NNP), Palruf/NNP)                                                        transparent/JJ                4.20397E-5
((side/NN, channel/NNS), CordMate/NNP)                                                    two/CD                        4.20397E-5
((size/NN, fan/NN), exhaust/NN)                                                           bathroom/NN                   4.20397E-5
((skill/NNS, Socializing/NNP), Bond/NNP)                                                  James/NNP                     4.20397E-5
((software/NN, qcad/NN), source/NN)                                                       open/JJ                       4.20397E-5
((store/NN, hardware/NN), big-box/NN)                                                     local/JJ                      4.20397E-5
((store/NN, improvement/NN), home/NN)                                                     big-box/JJ                    4.20397E-5
((store/NN, improvement/NN), home/NN)                                                     local/JJ                      8.40795E-5
((store/NN, improvement/NN), home/NN)                                                     local/JJ                      8.40795E-5
((store/NN, specialty/NN), paint/NN)                                                      local/JJ                      4.20397E-5
((store/NN, supply/NN), plumbing/NN)                                                      local/JJ                      4.20397E-5
((store/NNS, improvement/NN), home/NN)                                                    local/JJ                      4.20397E-5
((system/NN, conditioning/NN), air/NN)                                                    central/JJ                    4.20397E-5
((system/NN, control/NNS), hvac/NN)                                                       sophisticated/JJ              4.20397E-5
((system/NN, feed/NN), pump/NN)                                                           circulation/NN                4.20397E-5
((system/NN, geo/NN), loop/NN)                                                            open/JJ                       4.20397E-5
((system/NN, heating/NN), water/NN)                                                       robust/JJ                     4.20397E-5
((system/NN, hvac/NN), zone/NN)                                                           2/CD                          4.20397E-5
((system/NN, shower/tub/NN), piece/NN)                                                    one/CD                        4.20397E-5
((system/NNS, containment/NN), air/NN)                                                    negative/JJ                   4.20397E-5
((system/NNS, mitigation/NN), radon/NN)                                                   home/NN                       2.52238E-4
((system/NNS, mitigation/NN), radon/NN)                                                   home/NN                       2.52238E-4
((system/NNS, mitigation/NN), radon/NN)                                                   home/NN                       2.52238E-4
((system/NNS, mitigation/NN), radon/NN)                                                   home/NN                       2.52238E-4
((system/NNS, mitigation/NN), radon/NN)                                                   home/NN                       2.52238E-4
((system/NNS, mitigation/NN), radon/NN)                                                   home/NN                       2.52238E-4
((Systems/NNP, Safe/NNP), dig/NN)                                                         contact/NN                    4.20397E-5
((top/NN, cook/NN), glass/NN)                                                             sealed/JJ                     4.20397E-5
((Tracer/NNP, Finder/NNP), Breaker/NNP)                                                   Circuit/NNP                   4.20397E-5
((TRIM/NNP, CONCEALING/NNP), IMAGINARY/NNP)                                               -------/CD                    4.20397E-5
((tubing/NN, PEX/NNP), water/NN)                                                          hot/JJ                        4.20397E-5
((UL/NNP, Chemical/NNP), Dry/NNP)                                                         mult-purpose/JJ               4.20397E-5
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      central/JJ                    4.20397E-4
((unit/NN, conditioning/NN), air/NN)                                                      dual-zone/JJ                  2.10198E-4
((unit/NN, conditioning/NN), air/NN)                                                      dual-zone/JJ                  2.10198E-4
((unit/NN, conditioning/NN), air/NN)                                                      dual-zone/JJ                  2.10198E-4
((unit/NN, conditioning/NN), air/NN)                                                      dual-zone/JJ                  2.10198E-4
((unit/NN, conditioning/NN), air/NN)                                                      dual-zone/JJ                  2.10198E-4
((unit/NN, handler/NN), air/NN)                                                           central/JJ                    4.20397E-5
((unit/NN, handler/NN), air/NN)                                                           one/CD                        4.20397E-5
((unit/NN, xr15/NN), Trane/NNP)                                                           new/JJ                        4.20397E-5
((variety/NN, Freight/NNP), Harbor/NNP)                                                   cheap/JJ                      4.20397E-5
((version/NN, freight/NN), harbor/NN)                                                     cheapo/JJ                     4.20397E-5
((version/NN, Freight/NNP), Harbor/NNP)                                                   34/CD                         4.20397E-5
